DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e Semana epidem. notificação
UF de notificação: Minas Gerais
Período:2023
"Semana epidem. 1º Sintomas(s)";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"Semana 01";1153;987;113;25;29;25;3;9;3;4;2;8;1;8;5;-;-;2;3;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;1;-;-;-;2388
"Semana 02";-;1711;1229;82;22;16;12;9;2;1;5;1;4;-;15;2;1;-;1;1;-;-;-;-;1;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;3;2;-;3125
"Semana 03";-;-;2381;1762;146;26;24;22;5;1;7;9;3;1;3;3;2;1;1;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;-;2;4;-;4410
"Semana 04";-;-;-;2862;2129;124;48;20;34;4;3;5;7;-;-;-;7;-;1;-;2;2;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;3;5256
"Semana 05";-;-;-;-;4366;3171;265;125;104;36;3;6;10;28;5;-;1;7;2;1;-;1;-;-;-;-;-;-;-;1;-;-;1;-;2;1;-;-;-;3;-;-;-;1;-;1;1;6;7;1;-;1;8157
"Semana 06";-;-;-;-;-;5953;4005;292;191;96;33;11;9;3;11;-;1;2;8;2;-;-;1;1;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;1;-;-;-;1;-;-;1;2;3;-;1;10631
"Semana 07";-;-;-;-;-;-;6987;3048;536;131;162;104;34;1;12;7;2;1;2;8;-;1;-;1;2;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;1;1;2;10;1;11058
"Semana 08";-;-;-;-;-;-;-;6332;5419;399;95;126;58;10;49;17;8;4;1;1;4;1;-;-;-;1;-;1;2;2;-;-;-;-;1;1;-;1;-;1;-;1;-;-;1;-;-;-;-;-;-;1;12537
"Semana 09";-;-;-;-;-;-;-;-;8728;6226;457;150;114;212;101;31;8;25;12;4;2;4;6;-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;3;-;3;1;4;1;-;1;5;1;-;-;2;16105
"Semana 10";-;-;-;-;-;-;-;-;-;10946;7144;549;235;137;124;32;16;10;22;5;2;1;1;8;-;-;-;-;-;1;-;2;-;-;2;-;-;-;-;1;1;-;-;2;1;1;1;1;-;-;-;-;19245
"Semana 11";-;-;-;-;-;-;-;-;-;-;11947;8340;707;140;155;103;26;10;14;30;4;3;-;9;10;-;-;2;1;1;-;-;1;2;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;1;-;21510
"Semana 12";-;-;-;-;-;-;-;-;-;-;-;13909;8919;537;237;152;147;34;20;6;29;7;-;6;8;2;-;1;-;1;1;4;2;3;3;-;-;-;1;-;-;-;1;1;1;-;2;-;-;-;-;-;24034
"Semana 13";-;-;-;-;-;-;-;-;-;-;-;-;14688;8755;1091;269;160;68;53;7;7;14;2;4;2;5;3;-;1;2;4;1;2;-;8;4;-;-;1;-;-;1;1;-;-;-;-;-;2;-;-;1;25156
"Semana 14";-;-;-;-;-;-;-;-;-;-;-;-;-;12026;9985;961;309;144;81;45;26;7;18;14;2;1;4;3;2;3;4;15;1;2;3;5;-;-;-;-;-;-;-;-;1;-;-;-;6;1;-;-;23669
"Semana 15";-;-;-;-;-;-;-;-;-;-;-;-;-;-;15790;9761;1245;251;115;79;26;18;5;8;4;6;5;3;9;1;3;4;1;-;4;1;2;-;-;-;-;-;-;-;-;-;-;-;6;-;-;2;27349
"Semana 16";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13030;9799;822;422;91;56;22;18;7;11;5;6;5;7;3;19;1;3;1;4;2;-;2;-;-;-;-;-;1;-;-;1;-;3;-;2;-;24343
"Semana 17";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13161;6453;681;135;108;34;37;8;22;10;4;5;4;17;14;-;-;-;2;-;-;-;4;-;-;-;1;1;-;-;-;-;5;-;-;-;20706
"Semana 18";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11744;7906;777;216;88;79;20;16;7;6;10;10;1;23;-;-;-;5;1;-;-;2;1;-;4;-;3;1;1;-;1;7;-;-;-;20929
"Semana 19";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11151;6994;635;126;35;43;12;10;9;8;15;17;14;2;1;4;5;-;1;-;-;-;-;1;-;4;-;-;-;-;4;-;-;-;19091
"Semana 20";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8975;5676;468;75;58;46;13;3;7;13;24;6;5;3;5;2;1;-;1;-;-;-;-;1;6;-;-;-;-;2;-;1;-;15391
"Semana 21";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6200;3532;332;64;20;14;12;4;20;10;-;2;-;2;3;-;-;1;2;1;-;-;-;3;-;-;-;-;-;-;-;-;10222
"Semana 22";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4470;2788;319;56;14;21;7;8;4;5;4;-;1;2;2;-;1;-;2;-;2;-;-;-;-;-;2;1;-;-;-;7709
"Semana 23";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2902;2420;214;40;31;13;20;3;1;5;1;1;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;5654
"Semana 24";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2866;1657;115;26;25;10;4;3;2;1;2;-;-;-;1;-;-;3;-;1;-;-;-;-;-;1;-;-;-;4717
"Semana 25";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2103;1246;77;29;7;4;2;2;3;2;-;-;-;-;1;-;1;-;1;1;-;-;-;-;1;-;-;-;3480
"Semana 26";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1343;764;75;14;7;12;3;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2221
"Semana 27";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;917;617;48;11;15;4;-;-;1;2;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;1618
"Semana 28";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;765;460;42;15;2;1;-;1;1;-;2;-;-;-;1;-;3;-;-;-;-;-;-;-;2;1295
"Semana 29";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;699;353;33;6;7;3;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1106
"Semana 30";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;523;317;22;4;1;4;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;874
"Semana 31";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;519;326;28;2;1;-;1;1;11;1;-;-;-;-;-;-;-;-;1;-;-;-;891
"Semana 32";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;483;270;20;4;1;1;4;9;-;2;-;-;-;1;-;-;-;3;-;1;-;799
"Semana 33";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;458;249;35;3;1;3;8;1;-;1;1;-;-;-;-;-;-;1;-;-;761
"Semana 34";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;426;235;10;8;6;9;2;1;-;1;-;-;-;-;1;-;1;-;-;700
"Semana 35";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;342;267;43;6;8;4;5;-;1;-;-;-;-;1;-;-;-;-;677
"Semana 36";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;276;244;31;6;3;2;1;-;-;1;-;-;-;1;-;-;-;565
"Semana 37";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;464;258;29;5;6;-;1;-;2;-;-;-;-;-;-;-;765
"Semana 38";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;534;253;25;4;1;4;1;-;-;-;-;-;-;-;-;822
"Semana 39";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;469;304;37;6;2;2;3;1;-;1;-;-;-;2;827
"Semana 40";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;631;326;27;11;6;9;-;-;-;3;3;-;1;1017
"Semana 41";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;512;457;27;5;11;7;1;-;2;2;1;2;1027
"Semana 42";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;704;487;48;23;4;6;1;1;1;2;2;1279
"Semana 43";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;888;472;67;9;5;3;1;-;4;1;1450
"Semana 44";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;756;758;77;11;10;22;6;4;2;1646
"Semana 45";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1489;872;81;20;24;46;5;3;2540
"Semana 46";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1425;1006;90;19;23;24;3;2590
"Semana 47";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2190;1538;144;32;14;16;3934
"Semana 48";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2770;1763;141;33;28;4735
"Semana 49";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3101;2247;211;28;5587
"Semana 50";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4125;2680;260;7065
"Semana 51";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4576;2626;7202
"Semana 52";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5170;5170
"Total";1153;2698;3723;4731;6692;9315;11344;9857;15022;17844;19858;23218;24789;21858;27583;24368;24893;19578;20496;17162;12994;8799;6299;5856;4189;2832;1889;1583;1353;1036;1011;896;788;728;674;578;766;854;817;989;901;1211;1431;1328;2377;2399;3309;4455;5135;6642;7575;8159;406035
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB
 (Coordenação Geral de Vigilância de Arboviroses - CGARB) em sua série histórica, que para tal, realiza análise ano a ano, com a base congelada para cada ano analisado.
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de
 alarme e dengue grave) é necessário considerar também o critério de confirmação (laboratorial e clínico-epidemiológico).
 A partir de 2020 o estado do Espírito Santo passou a utilizar o sistema e-SUS Vigilância em Saúde. Portanto, para os casos de Arboviroses urbanas do Espírito Santo
 foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiológica, em cada período pode apresentar notificações com data de
 notificação do ano anterior (semana epidemiológica 52 ou 53) e posterior (semana epidemiológica 01).
 Para cálculo da incidência recomenda-se utilizar locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 12/07/2022.
 Dados de 2022 atualizados em 18/07/2023.
 Dados de 2023 atualizados em 04/06/2024 às 07 horas.
 Dados de 2024 atualizados em 25/03/2025 às 22:00 horas, sujeitos à revisão.
 Dados de 2025 atualizados em 28/04/2025 às 03:00 horas, sujeitos à revisão.
 * Dados disponibilizados no TABNET em abril de 2025.
 
