DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e Semana epidem. notificação
UF de notificação: Paraná
Período:2023
"Semana epidem. 1º Sintomas(s)";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"Semana 01";243;155;9;3;2;-;12;-;-;-;1;-;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;430
"Semana 02";-;243;155;12;1;5;2;1;-;1;1;-;-;-;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;429
"Semana 03";-;-;313;212;5;3;2;2;-;-;-;4;1;-;-;2;2;1;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;552
"Semana 04";-;-;-;430;258;12;3;1;5;3;-;1;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;718
"Semana 05";-;-;-;-;557;362;21;2;15;5;1;1;5;6;-;-;1;10;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;991
"Semana 06";-;-;-;-;-;814;637;16;10;9;2;1;4;-;3;-;1;1;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1503
"Semana 07";-;-;-;-;-;-;1499;660;42;5;11;8;1;-;3;1;-;-;-;5;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2239
"Semana 08";-;-;-;-;-;-;-;1489;969;36;6;15;3;1;-;3;3;-;-;2;5;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2536
"Semana 09";-;-;-;-;-;-;-;-;2472;1431;94;18;30;72;6;2;5;16;7;2;2;3;5;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4169
"Semana 10";-;-;-;-;-;-;-;-;-;3749;2068;142;36;51;31;9;7;2;11;3;-;1;3;4;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6121
"Semana 11";-;-;-;-;-;-;-;-;-;-;4979;2550;162;68;26;26;3;3;2;13;8;11;2;3;2;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7861
"Semana 12";-;-;-;-;-;-;-;-;-;-;-;7344;4093;220;35;15;34;24;6;58;69;43;10;6;3;8;4;5;3;3;-;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;11988
"Semana 13";-;-;-;-;-;-;-;-;-;-;-;-;9765;4389;251;70;55;48;10;21;9;23;35;17;11;27;11;12;20;19;6;18;6;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;14824
"Semana 14";-;-;-;-;-;-;-;-;-;-;-;-;-;9327;6071;177;133;111;41;40;14;27;43;20;12;35;12;23;20;19;10;26;6;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;16169
"Semana 15";-;-;-;-;-;-;-;-;-;-;-;-;-;-;13390;5771;309;56;125;41;26;27;49;30;11;39;17;18;19;22;9;23;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19988
"Semana 16";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11352;6141;216;136;106;25;28;45;30;16;25;11;25;15;16;7;16;7;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18218
"Semana 17";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10306;4114;266;154;29;24;25;19;6;25;19;9;12;13;1;11;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15036
"Semana 18";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10013;4703;279;42;36;58;33;7;29;19;7;10;12;8;9;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;15268
