DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e Semana epidem. notificação
UF de notificação: Rio de Janeiro
Período:2023
"Semana epidem. 1º Sintomas(s)";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"Semana 01";116;111;16;6;1;7;-;1;-;1;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;264
"Semana 02";-;105;139;20;3;6;-;2;-;-;-;2;1;1;4;3;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;290
"Semana 03";-;-;134;192;18;8;1;3;1;-;-;4;1;2;-;1;-;-;1;2;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;-;-;374
"Semana 04";-;-;-;193;201;19;7;1;3;1;4;3;4;1;4;-;-;2;2;2;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;452
"Semana 05";-;-;-;-;249;255;37;1;13;4;3;3;5;3;1;-;-;2;1;2;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;582
"Semana 06";-;-;-;-;-;448;362;18;13;4;7;5;2;2;4;1;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;870
"Semana 07";-;-;-;-;-;-;349;198;56;10;4;5;5;1;2;2;-;3;-;4;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;641
"Semana 08";-;-;-;-;-;-;-;324;432;50;6;8;10;4;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;840
"Semana 09";-;-;-;-;-;-;-;-;480;568;56;17;16;30;4;4;4;1;6;7;-;1;1;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1198
"Semana 10";-;-;-;-;-;-;-;-;-;536;538;93;22;5;11;1;4;3;7;3;-;-;-;2;-;-;2;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1231
"Semana 11";-;-;-;-;-;-;-;-;-;-;625;678;121;10;16;7;2;6;7;9;1;-;-;2;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1496
"Semana 12";-;-;-;-;-;-;-;-;-;-;-;848;998;86;17;3;6;7;-;2;4;-;-;-;1;4;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1979
"Semana 13";-;-;-;-;-;-;-;-;-;-;-;-;936;809;111;24;6;8;2;1;-;1;-;-;-;3;-;1;-;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1907
"Semana 14";-;-;-;-;-;-;-;-;-;-;-;-;-;764;841;86;23;26;16;6;8;5;-;1;8;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1788
"Semana 15";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1137;780;86;34;10;13;15;5;-;1;8;-;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2093
"Semana 16";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;753;818;70;13;9;3;2;-;1;-;-;-;5;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1694
"Semana 17";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;988;595;72;27;5;2;5;-;-;-;-;3;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1721
"Semana 18";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;911;821;115;16;6;15;4;-;-;-;5;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1921
"Semana 19";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;920;848;97;17;1;7;-;2;1;13;-;1;24;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1933
"Semana 20";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;880;745;89;2;6;6;3;1;9;-;-;26;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1771
