DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e Semana epidem. notificação
Período:2024
"Semana epidem. 1º Sintomas(s)";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"Semana 01";24295;19880;2048;690;571;962;143;143;164;150;427;141;13;191;57;30;20;17;27;10;3;2;9;9;-;2;4;2;1;1;3;4;-;-;1;1;1;-;1;-;4;-;1;-;6;-;-;-;3;1;1;-;50039
"Semana 02";-;30069;24283;2569;690;463;553;201;116;97;583;168;9;55;88;51;62;12;35;21;10;15;15;17;12;1;5;2;4;1;8;4;4;-;1;6;4;-;-;5;-;8;-;-;2;3;-;-;1;3;1;2;60259
"Semana 03";-;-;44729;35416;3528;994;429;1044;411;260;353;221;39;43;160;76;80;45;23;14;21;8;6;24;38;5;36;13;16;10;5;10;2;-;-;1;4;2;1;-;4;18;1;1;-;1;6;1;1;-;3;2;88105
"Semana 04";-;-;-;67003;50228;3562;736;830;886;511;230;275;146;57;146;95;84;53;18;26;27;17;3;10;11;12;27;11;37;72;11;4;-;1;-;-;-;-;1;1;5;11;-;1;-;-;1;4;2;1;1;2;125159
"Semana 05";-;-;-;-;86972;62692;3920;2070;1615;2133;337;291;81;620;95;268;43;144;70;34;32;16;23;25;16;16;16;17;13;45;36;6;-;1;1;5;-;1;-;9;3;3;21;9;2;1;1;2;10;1;1;-;161717
"Semana 06";-;-;-;-;-;121007;60665;7590;2857;2091;1143;480;154;174;290;245;265;55;162;80;42;34;57;76;46;65;27;50;29;8;28;5;8;-;-;3;1;1;1;2;13;1;2;1;2;3;-;-;2;6;-;-;197771
"Semana 07";-;-;-;-;-;-;131435;96616;7011;1848;2066;1285;472;255;508;1199;315;110;125;191;283;69;38;33;30;31;34;44;51;52;26;14;8;8;1;-;1;2;5;-;5;4;3;3;3;1;1;1;-;1;8;1;244197
"Semana 08";-;-;-;-;-;-;-;179192;107936;6572;2048;1927;1048;470;642;1235;608;114;61;109;161;161;253;85;29;28;11;18;24;11;17;55;53;38;7;2;-;3;5;1;22;2;5;1;3;1;-;1;-;1;2;7;302969
"Semana 09";-;-;-;-;-;-;-;-;192592;120531;9244;2547;1751;2445;676;1584;398;316;155;124;91;61;163;164;61;60;40;102;167;7;21;10;48;22;17;5;-;3;2;2;7;-;4;8;6;1;-;1;1;2;4;2;333445
"Semana 10";-;-;-;-;-;-;-;-;-;209308;127471;8887;2792;1945;1532;1202;389;243;268;92;100;83;162;106;155;58;38;104;12;80;49;41;19;16;17;7;4;5;8;2;9;1;9;2;2;1;1;3;1;3;2;-;355229
"Semana 11";-;-;-;-;-;-;-;-;-;-;221514;141190;9669;2803;1562;1672;731;520;321;366;205;503;159;165;128;109;56;25;29;72;14;62;14;36;36;5;4;18;11;2;9;3;11;6;2;5;4;8;2;-;-;1;382052
"Semana 12";-;-;-;-;-;-;-;-;-;-;-;249299;151485;13075;3674;1724;1359;477;500;394;493;914;417;201;149;243;226;61;26;24;20;57;10;29;20;25;11;6;17;4;3;2;3;3;3;5;1;-;2;3;-;-;424965
"Semana 13";-;-;-;-;-;-;-;-;-;-;-;-;204294;144382;9750;3530;1366;1106;552;334;335;658;673;430;281;216;185;147;115;111;116;149;54;55;10;50;5;9;15;17;9;7;3;6;8;3;1;1;1;1;1;-;368986
"Semana 14";-;-;-;-;-;-;-;-;-;-;-;-;-;228927;153234;12297;3552;2617;2266;926;696;572;543;471;165;210;186;215;64;101;42;220;161;47;28;40;22;22;40;23;58;18;8;5;14;4;4;1;7;16;2;5;407829
