DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e Semana epidem. notificação
UF de notificação: Bahia
Período:2024
"Semana epidem. 1º Sintomas(s)";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"Semana 01";350;231;24;12;10;9;-;2;3;3;1;2;-;6;2;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;658
"Semana 02";-;355;329;49;13;15;8;1;3;1;1;2;-;1;5;5;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;791
"Semana 03";-;-;468;422;76;9;4;12;7;-;-;8;-;-;-;3;7;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1018
"Semana 04";-;-;-;682;671;62;13;2;20;4;3;1;5;2;2;-;6;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1477
"Semana 05";-;-;-;-;1279;1135;73;34;36;65;5;8;-;36;4;-;-;9;3;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;2691
"Semana 06";-;-;-;-;-;2198;1276;219;80;54;27;13;1;6;8;4;-;2;5;-;-;1;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3898
"Semana 07";-;-;-;-;-;-;2808;2411;294;62;31;29;4;7;1;10;3;2;2;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5668
"Semana 08";-;-;-;-;-;-;-;5614;4104;339;98;35;21;19;16;5;9;3;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;10269
"Semana 09";-;-;-;-;-;-;-;-;8196;4963;526;66;41;87;29;11;3;19;3;1;2;2;2;1;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13955
"Semana 10";-;-;-;-;-;-;-;-;-;9291;5482;428;118;74;69;16;9;10;13;4;-;2;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15521
"Semana 11";-;-;-;-;-;-;-;-;-;-;10162;6459;442;157;68;44;36;21;7;3;3;-;-;2;1;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17408
"Semana 12";-;-;-;-;-;-;-;-;-;-;-;11241;6281;642;246;75;33;41;3;4;8;1;1;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18580
"Semana 13";-;-;-;-;-;-;-;-;-;-;-;-;9200;6795;478;326;30;52;36;22;8;4;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16954
"Semana 14";-;-;-;-;-;-;-;-;-;-;-;-;-;11493;6936;539;99;88;87;85;86;70;18;5;-;-;2;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;19512
"Semana 15";-;-;-;-;-;-;-;-;-;-;-;-;-;-;10891;5955;468;71;71;102;10;59;47;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;17679
"Semana 16";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9357;5553;431;104;80;21;24;107;20;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15701
"Semana 17";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7896;3911;315;125;30;25;23;30;2;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12362
"Semana 18";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6307;3890;338;125;76;57;61;14;-;5;-;-;-;2;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;10878
"Semana 19";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5740;3348;389;44;32;63;20;2;1;5;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9647
"Semana 20";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4323;2756;211;60;50;62;7;1;3;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7476
"Semana 21";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3416;1934;229;49;56;32;1;7;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5727
"Semana 22";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2044;1519;146;35;42;6;2;4;3;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3804
"Semana 23";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1605;1117;104;37;16;15;15;8;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2924
"Semana 24";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1285;808;75;15;6;7;25;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2223
"Semana 25";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;865;560;66;32;10;14;-;5;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1554
"Semana 26";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;747;496;81;13;5;1;4;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1352
"Semana 27";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;654;502;49;7;10;20;5;1;-;-;-;-;2;1;-;3;1;-;-;-;-;-;-;-;-;-;1255
"Semana 28";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;609;424;34;7;21;2;2;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;1;1;-;1108
"Semana 29";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;519;387;33;9;6;1;-;-;2;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;960
"Semana 30";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;397;300;32;5;2;2;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;741
"Semana 31";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;359;263;30;3;3;10;8;-;-;1;-;2;-;-;-;1;-;-;-;-;-;-;680
"Semana 32";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;309;217;43;2;8;10;5;-;1;-;-;-;-;1;2;-;-;-;1;-;-;599
