DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e Semana epidem. notificação
UF de notificação: Distrito Federal
Período:2024
"Semana epidem. 1º Sintomas(s)";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"Semana 01";3553;3187;481;128;192;408;79;61;74;51;50;28;1;21;6;17;18;4;8;5;1;2;2;1;-;2;1;-;-;-;3;2;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;8389
"Semana 02";-;3612;3359;606;183;108;237;118;42;15;79;18;1;3;10;14;56;12;31;3;7;14;13;11;8;-;2;-;-;-;8;1;3;-;1;6;3;-;-;5;-;7;-;-;-;-;-;-;1;1;-;2;8600
"Semana 03";-;-;5922;5236;642;187;94;384;88;4;29;15;1;1;1;17;31;39;19;-;2;4;4;13;33;3;35;12;13;7;5;3;2;-;-;1;4;-;-;-;-;16;-;-;-;-;-;-;1;-;-;-;12868
"Semana 04";-;-;-;10398;7239;462;133;114;50;21;82;180;15;14;1;9;4;17;13;22;19;6;-;4;10;10;27;6;34;48;8;1;-;-;-;-;-;-;-;-;5;10;-;-;-;-;-;-;-;-;-;-;18962
"Semana 05";-;-;-;-;11922;7980;611;395;375;419;131;157;11;46;6;6;11;5;4;11;20;4;-;2;5;3;6;13;-;28;31;-;-;1;-;1;-;-;-;-;-;2;20;7;-;-;-;-;-;-;-;-;22233
"Semana 06";-;-;-;-;-;12903;6252;741;348;533;281;185;35;70;28;19;11;6;7;8;7;10;17;-;-;3;5;39;-;7;27;-;-;-;-;-;-;-;-;2;8;-;1;1;-;-;-;-;-;-;-;-;21554
"Semana 07";-;-;-;-;-;-;12306;6936;606;323;364;184;153;104;58;32;61;36;10;20;26;17;15;1;-;3;4;13;5;15;16;12;6;5;-;-;-;-;-;-;4;-;-;-;-;1;-;-;-;-;-;-;21336
"Semana 08";-;-;-;-;-;-;-;13470;7435;508;403;357;140;104;139;115;72;45;12;33;34;9;3;10;-;2;2;1;-;2;4;17;32;14;2;-;-;-;-;-;21;1;2;-;-;1;-;1;-;-;-;-;22991
"Semana 09";-;-;-;-;-;-;-;-;12337;7136;728;334;257;229;152;81;185;56;40;23;45;3;18;17;7;-;-;2;5;-;18;5;12;7;9;2;-;-;-;-;5;-;-;-;-;-;-;-;-;1;-;-;21714
"Semana 10";-;-;-;-;-;-;-;-;-;10508;6731;574;302;128;230;199;29;30;25;35;36;2;13;14;19;2;-;-;-;1;41;30;5;7;3;-;-;2;-;-;2;-;5;-;-;1;-;-;-;-;-;-;18974
"Semana 11";-;-;-;-;-;-;-;-;-;-;9503;6321;314;267;169;147;68;34;68;44;15;7;13;14;3;1;-;-;1;3;3;39;-;18;4;-;-;1;1;-;1;1;2;-;-;1;-;-;-;-;-;-;17063
"Semana 12";-;-;-;-;-;-;-;-;-;-;-;9036;5001;365;312;126;134;42;79;97;80;26;11;5;9;1;-;2;1;-;1;34;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15366
"Semana 13";-;-;-;-;-;-;-;-;-;-;-;-;5250;3888;277;91;95;48;80;62;74;147;92;14;4;-;1;11;16;6;1;1;13;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10195
"Semana 14";-;-;-;-;-;-;-;-;-;-;-;-;-;5532;3933;209;176;129;85;86;18;16;56;89;40;12;26;40;11;3;12;2;33;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;10516
"Semana 15";-;-;-;-;-;-;-;-;-;-;-;-;-;-;5442;3132;328;138;44;65;96;66;8;9;48;12;-;49;27;22;18;17;12;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;9539
"Semana 16";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4377;2356;239;51;23;83;41;38;11;12;11;3;6;21;23;33;62;1;19;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;7413
"Semana 17";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3089;1992;141;49;23;64;37;17;5;4;11;4;27;-;10;44;21;17;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5559
"Semana 18";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2361;1525;127;36;51;59;29;13;15;38;20;10;-;5;58;24;59;13;-;1;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;4447
"Semana 19";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1954;1375;89;32;35;23;20;15;12;20;21;1;-;9;26;13;40;11;3;5;1;-;-;-;1;-;-;-;-;-;-;-;-;-;3706
"Semana 20";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1823;1140;69;70;4;9;22;2;17;6;3;-;5;19;-;14;21;10;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;3238
"Semana 21";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1529;1073;140;8;8;9;10;4;4;-;2;1;-;-;7;7;29;2;3;1;-;-;-;-;-;-;-;-;-;-;-;-;2837
"Semana 22";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1139;748;49;10;5;5;1;1;1;1;-;2;1;1;-;20;15;8;1;1;-;5;-;-;-;-;-;-;-;-;-;2014
"Semana 23";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;800;458;16;9;12;6;2;-;-;-;-;-;6;-;1;12;7;6;-;-;15;11;3;-;-;-;-;-;-;-;1364
"Semana 24";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;526;262;19;6;6;1;-;2;-;-;-;1;-;2;13;-;1;-;-;-;13;1;14;-;-;-;-;-;2;869
"Semana 25";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;328;139;27;20;4;-;-;-;-;-;2;1;10;9;3;2;-;-;-;1;-;19;4;-;-;-;-;7;576
"Semana 26";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;92;129;33;7;-;-;2;-;-;2;-;4;-;1;-;1;-;-;2;-;9;8;-;-;-;1;4;295
"Semana 27";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;132;148;14;6;2;6;-;-;-;-;2;-;-;-;1;-;-;-;1;6;12;-;-;-;8;-;338
"Semana 28";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;133;113;12;3;4;1;-;-;-;-;-;1;-;-;-;-;-;-;4;3;-;-;-;3;-;277
"Semana 29";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;83;84;4;9;1;1;-;-;1;-;-;-;3;-;-;-;1;6;7;1;-;-;4;-;205
