DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e Semana epidem. notificação
UF de notificação: Paraná
Período:2024
"Semana epidem. 1º Sintomas(s)";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"Semana 01";3182;2022;104;19;24;46;6;2;9;4;-;1;1;4;3;1;1;1;3;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5435
"Semana 02";-;4079;2660;169;38;17;27;6;5;7;4;-;-;-;7;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7023
"Semana 03";-;-;5641;3646;232;45;15;34;6;3;9;9;7;1;-;3;5;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;9661
"Semana 04";-;-;-;7092;4321;204;26;19;32;4;7;2;11;1;-;3;8;2;-;-;1;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11737
"Semana 05";-;-;-;-;7347;4221;205;43;70;99;8;3;9;57;4;1;1;11;4;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;12088
"Semana 06";-;-;-;-;-;9726;4737;419;63;82;42;4;3;9;17;4;7;3;6;1;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;15128
"Semana 07";-;-;-;-;-;-;11741;7936;409;62;82;41;4;2;3;26;1;1;-;9;5;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20326
"Semana 08";-;-;-;-;-;-;-;15854;7979;440;78;72;55;11;3;5;18;-;-;1;5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;24525
"Semana 09";-;-;-;-;-;-;-;-;16607;8997;547;115;56;162;15;16;7;14;3;2;1;1;3;-;-;1;2;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;26554
"Semana 10";-;-;-;-;-;-;-;-;-;20123;11217;606;264;239;97;50;22;12;13;6;-;1;2;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;32658
"Semana 11";-;-;-;-;-;-;-;-;-;-;23993;12845;570;132;76;159;81;110;25;23;4;14;1;3;3;1;1;1;1;-;-;7;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38051
"Semana 12";-;-;-;-;-;-;-;-;-;-;-;27607;14815;813;155;59;78;12;6;13;23;1;4;8;4;3;22;6;1;1;1;3;2;3;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;43647
"Semana 13";-;-;-;-;-;-;-;-;-;-;-;-;25797;15299;761;134;61;43;9;13;8;7;8;28;17;4;3;2;-;1;-;26;25;13;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;42263
"Semana 14";-;-;-;-;-;-;-;-;-;-;-;-;-;29778;14853;732;152;141;178;26;7;6;18;17;19;3;2;15;1;9;4;94;20;14;-;-;-;5;6;2;-;-;-;-;3;-;-;-;-;-;-;-;46105
"Semana 15";-;-;-;-;-;-;-;-;-;-;-;-;-;-;29580;14213;686;122;94;91;16;6;18;18;21;13;1;-;14;13;6;77;34;15;7;-;1;4;5;-;-;-;-;-;1;-;-;-;-;-;-;-;45056
"Semana 16";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27516;15533;670;143;77;56;14;8;12;14;20;8;11;22;45;10;63;43;2;5;-;-;12;31;-;-;-;-;-;-;-;-;1;-;-;-;-;44316
