DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e Semana epidem. notificação
UF de notificação: Rio Grande do Sul
Período:2024
"Semana epidem. 1º Sintomas(s)";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"Semana 01";159;148;13;5;1;8;1;1;-;4;-;-;-;5;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;349
"Semana 02";-;239;179;21;8;4;5;3;-;1;1;-;1;-;1;-;-;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;467
"Semana 03";-;-;400;318;32;7;-;9;4;-;1;5;1;-;-;3;2;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;785
"Semana 04";-;-;-;625;559;41;3;7;4;4;-;-;5;1;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1254
"Semana 05";-;-;-;-;821;709;41;36;13;22;4;1;1;33;3;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1687
"Semana 06";-;-;-;-;-;1399;937;231;35;30;14;4;1;6;17;6;2;2;-;-;-;1;1;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2691
"Semana 07";-;-;-;-;-;-;2006;2129;144;38;40;15;5;8;21;31;5;1;1;1;3;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4450
"Semana 08";-;-;-;-;-;-;-;3121;2314;172;32;49;31;28;6;7;18;4;2;-;2;1;-;-;2;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5791
"Semana 09";-;-;-;-;-;-;-;-;3907;2888;223;35;26;103;19;8;4;10;2;1;3;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7231
"Semana 10";-;-;-;-;-;-;-;-;-;5599;3846;354;61;55;90;32;6;6;9;-;7;2;-;1;1;-;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;10074
"Semana 11";-;-;-;-;-;-;-;-;-;-;6482;4848;356;119;68;87;10;10;4;12;10;1;9;5;9;3;1;1;-;-;4;3;2;-;-;-;-;-;-;-;-;1;-;-;-;1;3;-;-;-;-;-;12049
"Semana 12";-;-;-;-;-;-;-;-;-;-;-;7943;5621;416;148;84;43;11;3;12;18;3;19;39;10;-;-;-;1;-;2;-;1;-;-;-;-;-;-;1;2;-;-;1;-;-;-;-;1;-;-;-;14379
"Semana 13";-;-;-;-;-;-;-;-;-;-;-;-;7818;6779;532;216;64;36;7;19;10;12;2;31;4;8;2;1;3;3;1;2;-;-;-;-;-;-;-;14;3;7;-;-;-;-;-;-;-;-;-;-;15574
"Semana 14";-;-;-;-;-;-;-;-;-;-;-;-;-;9881;7580;651;241;116;69;15;10;21;11;7;17;2;1;-;-;1;1;-;1;-;-;-;14;2;-;14;40;16;1;-;-;-;-;-;-;-;-;-;18712
"Semana 15";-;-;-;-;-;-;-;-;-;-;-;-;-;-;11743;8345;609;146;74;78;16;22;22;11;3;1;-;1;1;-;1;1;3;-;-;7;30;35;11;1;1;-;-;-;-;-;-;-;-;1;-;-;21163
"Semana 16";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11847;8555;608;105;120;43;25;28;18;13;5;17;3;1;2;3;-;4;-;-;12;18;2;-;34;-;-;22;13;-;-;-;1;-;2;-;-;21501
"Semana 17";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11253;6611;538;133;83;47;33;21;18;8;9;3;2;1;6;2;2;7;44;25;9;-;-;2;-;-;1;2;-;-;-;-;-;-;-;-;18860
"Semana 18";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8224;6475;663;181;84;56;19;16;49;4;-;3;11;5;8;19;23;-;-;-;-;-;-;1;-;4;9;1;-;-;-;-;1;-;-;15856
"Semana 19";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6956;6410;584;155;21;23;13;11;1;-;-;3;-;10;5;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;14195
"Semana 20";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8954;4794;373;115;29;39;16;9;21;68;14;1;13;1;-;-;5;-;-;5;-;-;-;-;2;3;-;-;-;-;-;-;-;14462
"Semana 21";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2829;1032;149;35;24;17;37;35;5;-;4;30;1;-;-;4;-;-;4;-;-;2;-;-;5;-;1;-;-;-;-;-;4214
"Semana 22";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1902;1430;156;61;20;38;14;8;-;1;-;1;-;-;1;-;-;9;3;-;10;1;-;1;-;-;-;-;-;-;-;3656
"Semana 23";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1044;965;129;20;16;3;3;-;-;-;1;-;3;5;2;1;3;1;-;-;6;-;-;6;14;-;-;-;-;-;2222
