DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e Semana epidem. notificação
UF de notificação: Santa Catarina
Período:2024
"Semana epidem. 1º Sintomas(s)";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"Semana 01";306;208;17;1;1;7;-;-;-;6;-;-;-;1;2;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;552
"Semana 02";-;403;305;13;4;3;3;-;-;-;-;-;-;-;4;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;739
"Semana 03";-;-;607;448;38;13;1;10;-;1;2;4;-;-;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1129
"Semana 04";-;-;-;837;601;20;14;6;11;1;-;-;1;1;-;-;4;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1499
"Semana 05";-;-;-;-;1172;871;40;12;20;56;1;-;1;19;3;3;-;1;1;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2203
"Semana 06";-;-;-;-;-;2381;1357;72;33;33;14;1;-;-;7;1;-;1;8;-;1;1;7;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3919
"Semana 07";-;-;-;-;-;-;3805;2561;109;16;22;20;2;-;2;10;-;-;-;7;5;-;3;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;6566
"Semana 08";-;-;-;-;-;-;-;6109;3336;134;13;37;27;6;1;2;27;2;1;-;8;1;2;-;1;-;-;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9718
"Semana 09";-;-;-;-;-;-;-;-;7953;4237;163;16;17;94;14;10;44;24;25;-;-;4;1;-;-;-;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12606
"Semana 10";-;-;-;-;-;-;-;-;-;9160;5246;173;40;33;13;7;2;4;11;3;12;23;32;2;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14766
"Semana 11";-;-;-;-;-;-;-;-;-;-;11204;6327;231;57;20;30;6;1;3;6;1;-;-;-;-;3;-;-;-;-;1;-;-;1;-;-;-;-;5;-;-;-;-;-;-;-;-;-;1;-;-;-;17897
"Semana 12";-;-;-;-;-;-;-;-;-;-;-;15217;8723;391;77;59;50;7;3;5;2;-;3;1;1;43;121;4;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;24709
"Semana 13";-;-;-;-;-;-;-;-;-;-;-;-;15392;9691;289;82;24;54;18;6;2;4;3;21;6;1;24;57;-;-;92;51;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25824
"Semana 14";-;-;-;-;-;-;-;-;-;-;-;-;-;17396;9909;402;66;111;147;80;32;20;30;29;3;1;1;-;-;-;-;5;60;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;28309
"Semana 15";-;-;-;-;-;-;-;-;-;-;-;-;-;-;19220;10324;361;162;82;74;27;9;27;6;4;1;-;-;-;-;-;2;8;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;30316
"Semana 16";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18436;10566;428;57;48;62;13;20;40;19;3;10;6;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29709
"Semana 17";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16584;8288;276;112;38;35;8;9;18;12;13;25;-;-;-;-;-;4;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25427
"Semana 18";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13177;8298;305;34;75;92;25;-;2;8;-;-;-;1;-;1;4;22;3;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;22049
"Semana 19";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14606;8071;248;56;100;81;6;1;4;37;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23211
"Semana 20";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13116;6762;166;81;39;7;6;5;9;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;20197
"Semana 21";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7719;2086;134;32;11;7;5;2;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9998
"Semana 22";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3712;2403;62;10;20;14;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6222
"Semana 23";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2873;1525;42;23;8;1;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4476
"Semana 24";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2679;1545;49;10;2;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4287
"Semana 25";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2317;1121;26;4;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3470
"Semana 26";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1505;604;19;6;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2136
"Semana 27";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;844;310;22;4;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1183
"Semana 28";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;390;174;17;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;584
"Semana 29";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;280;122;5;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;410
"Semana 30";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;292;146;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;449
"Semana 31";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;263;99;7;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;373
"Semana 32";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;175;91;8;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;275
"Semana 33";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;128;64;7;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;200
"Semana 34";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;120;66;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;189
"Semana 35";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59;26;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;86
"Semana 36";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;41;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;76
"Semana 37";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;28;2;1;-;1;-;-;-;-;-;-;-;-;-;-;81
"Semana 38";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;37;5;1;-;1;-;-;-;-;-;-;-;-;-;89
"Semana 39";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51;47;2;-;-;-;-;-;-;-;-;-;-;-;100
"Semana 40";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57;36;3;3;-;1;-;-;-;-;-;-;-;100
"Semana 41";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66;39;5;-;-;-;2;-;-;1;1;-;114
"Semana 42";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;65;45;6;-;-;-;-;-;1;-;-;117
"Semana 43";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70;43;5;1;1;-;-;-;-;1;121
"Semana 44";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63;66;8;3;-;-;-;-;-;140
"Semana 45";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;72;60;7;2;1;-;-;-;142
"Semana 46";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;84;65;8;1;1;-;-;159
"Semana 47";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74;61;8;2;-;-;145
"Semana 48";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82;63;5;-;1;151
"Semana 49";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;149;95;9;1;254
