DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e Semana epidem. notificação
UF de notificação: São Paulo
Período:2024
"Semana epidem. 1º Sintomas(s)";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"Semana 01";3532;3053;295;81;50;84;16;39;9;10;2;1;3;18;11;6;-;5;8;-;-;-;1;1;-;-;1;-;-;-;-;2;-;-;-;1;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;7234
"Semana 02";-;4367;3984;389;82;85;66;12;17;9;17;-;4;2;15;16;2;-;-;6;1;-;1;1;2;-;1;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;9085
"Semana 03";-;-;6483;5747;593;216;99;97;16;12;14;27;9;4;1;23;16;1;2;5;10;3;-;-;2;-;-;-;1;-;-;5;-;-;-;-;-;1;-;-;-;2;-;-;-;-;1;1;-;-;-;-;13391
"Semana 04";-;-;-;9596;8435;636;92;120;77;36;40;9;21;7;2;4;23;21;1;1;4;7;1;1;-;1;-;1;-;-;1;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;1;19145
"Semana 05";-;-;-;-;11824;9729;466;214;240;279;47;17;8;128;12;3;1;62;35;2;1;2;8;-;1;-;3;-;1;-;1;4;-;-;1;1;-;1;-;1;-;1;-;1;-;-;-;-;2;-;-;-;23096
"Semana 06";-;-;-;-;-;18193;10817;1148;398;242;129;39;33;17;58;13;2;8;88;48;6;-;3;6;-;1;1;-;7;-;-;4;4;-;-;1;1;1;-;-;1;1;1;-;-;-;-;-;1;2;-;-;31274
"Semana 07";-;-;-;-;-;-;22316;18793;1538;322;232;111;74;18;14;78;8;5;65;87;24;3;1;3;10;2;1;-;4;4;3;-;2;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;2;-;43724
"Semana 08";-;-;-;-;-;-;-;30880;21602;1501;398;176;191;55;21;44;76;14;15;45;42;2;4;5;6;2;-;-;4;3;3;11;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;2;55107
"Semana 09";-;-;-;-;-;-;-;-;37445;27844;2114;506;307;476;86;202;29;65;30;6;14;19;33;6;2;12;20;63;122;1;1;4;33;11;3;2;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;69458
"Semana 10";-;-;-;-;-;-;-;-;-;46175;31996;2312;759;458;283;295;44;50;78;22;9;8;45;26;12;14;12;66;1;79;3;8;7;8;10;5;1;1;-;1;-;-;1;1;-;-;-;1;-;1;-;-;82792
