DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e Semana epidem. notificação
Região de notificação: 3 Região Sudeste
Período:2024
"Semana epidem. 1º Sintomas(s)";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"Semana 01";13829;11311;1145;404;309;422;51;68;67;73;363;98;10;146;38;8;1;8;12;3;2;-;6;7;-;-;2;1;1;-;-;2;-;-;1;1;1;-;1;-;1;-;1;-;3;-;-;-;1;-;-;-;28397
"Semana 02";-;17963;14569;1386;352;273;249;51;60;68;490;120;6;51;55;27;6;-;2;9;3;1;1;2;3;1;1;2;2;-;-;3;1;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;2;1;-;35763
"Semana 03";-;-;27496;21412;2122;624;278;534;292;246;310;157;30;38;157;48;28;3;4;8;14;4;2;11;4;1;-;1;3;-;-;6;-;-;-;-;-;1;1;-;3;2;1;1;-;1;3;1;-;-;1;-;53848
"Semana 04";-;-;-;41698;31626;2323;462;628;700;469;130;83;102;37;143;81;51;26;5;4;7;8;3;6;1;1;-;4;-;-;1;3;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;2;1;-;1;2;78611
"Semana 05";-;-;-;-;56606;40627;2380;1253;954;1326;166;113;53;392;65;256;28;106;52;23;12;8;15;22;11;13;7;4;3;3;3;5;-;-;1;3;-;1;-;2;3;1;-;2;2;1;1;2;5;-;1;-;104531
"Semana 06";-;-;-;-;-;81317;39844;5000;2037;1194;676;256;100;78;191;206;241;40;126;68;33;20;28;67;45;62;20;9;11;1;1;5;7;-;-;1;1;1;1;-;3;1;1;-;1;3;-;-;2;4;-;-;131702
"Semana 07";-;-;-;-;-;-;87340;64726;4653;1215;1420;908;252;121;419;1071;241;68;109;148;239;51;20;29;25;27;29;30;39;37;10;1;2;2;-;-;1;2;4;-;1;3;1;2;3;-;-;-;-;1;4;1;163255
"Semana 08";-;-;-;-;-;-;-;119252;72271;4284;1247;1292;711;277;470;1090;444;54;38;73;105;147;247;75;25;25;7;5;19;9;12;37;21;24;4;2;-;3;5;-;1;-;2;1;3;-;-;-;-;1;2;5;202290
"Semana 09";-;-;-;-;-;-;-;-;127820;80834;6077;1817;1238;1590;418;1441;106;176;68;94;39;50;133;146;52;46;32;78;138;3;2;4;34;15;5;2;-;2;1;1;2;-;4;5;4;1;-;1;-;1;3;1;222484
"Semana 10";-;-;-;-;-;-;-;-;-;138053;83921;5918;1793;1306;954;862;285;161;177;40;42;49;105;79;118;41;33;98;12;79;4;10;14;8;14;7;4;3;8;2;7;1;4;2;1;-;-;3;1;2;2;-;234223
